Priority Mail International - Commercial Base,,,,,,Final,,12/9/2020,,,,,,
,
Price Groups,,,,,
2,3,4,5,6,7,8,,,,
Flat Rate Envelopes,33.70,37.35,36.30,37.70,38.15,38.50,37.00,,,,
Small Flat Rate Priced Boxes,35.25,38.50,37.45,38.80,39.15,41.10,38.15,,,,
Medium Flat Rate Boxes,75.75,77.35,76.55,79.45,85.35,89.65,80.75,,,,
Large Flat Rate Boxes,98.85,100.95,99.90,103.05,107.80,112.15,105.80,,,,

Weight Not Over (Lbs),Price Groups,,,,,,,,,,,,,,,,,,
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,44.60,54.63,51.25,51.49,52.30,51.82,54.48,52.92,47.50,47.69,52.92,48.83,54.06,47.74,50.73,53.82,49.45,55.39,54.86
2,47.50,60.09,54.39,54.67,56.76,56.24,60.94,59.19,51.68,51.68,58.33,53.25,58.24,51.30,52.82,57.57,55.39,60.94,60.71
3,50.45,65.55,57.52,57.81,61.23,60.66,67.40,65.50,55.91,55.62,63.75,57.62,62.37,54.86,56.48,61.32,59.47,66.45,64.65
4,53.34,71.01,60.66,60.94,65.69,65.08,73.86,71.77,60.09,59.61,69.16,61.99,66.50,58.43,60.18,65.08,63.65,72.01,68.59
5,56.29,76.48,63.79,64.13,70.16,69.49,80.37,78.04,64.27,63.56,74.58,66.36,70.63,61.99,63.84,68.83,67.83,77.57,73.72
6,59.19,81.94,66.93,67.26,74.62,73.91,86.83,84.36,68.50,67.55,79.99,70.78,74.77,65.50,67.50,72.58,72.06,83.08,77.66
7,62.13,87.40,70.11,70.40,79.09,78.33,93.29,90.63,72.68,71.49,85.36,75.15,78.90,69.07,71.16,76.33,76.33,88.64,81.56
8,65.03,92.86,73.25,73.58,83.55,82.75,99.80,96.95,76.90,75.48,90.77,79.52,83.03,72.63,74.81,80.09,80.66,94.15,85.50
9,67.97,98.33,76.38,76.71,88.02,87.16,106.26,103.22,81.08,79.42,96.19,83.89,87.16,76.19,78.47,83.84,85.03,99.70,89.44
10,70.87,103.79,79.52,79.90,92.44,91.58,112.72,109.49,85.31,83.41,101.60,88.30,91.30,79.75,82.13,87.59,89.40,105.26,93.39
11,73.77,109.25,82.65,83.03,96.90,96.00,119.18,115.81,89.49,87.35,107.02,92.67,95.43,81.99,84.46,91.34,92.39,110.77,97.33
12,76.71,114.67,85.79,86.17,101.37,100.42,125.69,122.08,93.72,91.30,112.39,97.04,99.56,84.27,86.78,95.10,95.38,116.33,101.27
